,sd
39810,"{'ALEXTYUS|CLUB|MACCABITELAVIVB.C.', 'ALEXTYUS|LEAGUE|TURKISHBASKETBALLSUPERLEAGUE'}"
39811,"{'BRANDON,MANITOBA|LEADERNAME|CONSERVATIVEPARTYOFCANADA', 'ALEXPLANTE|BIRTHPLACE|BRANDON,MANITOBA'}"
39812,"{'BRANDON,MANITOBA|LEADERNAME|CONSERVATIVEPARTYOFCANADA', 'ALEXPLANTE|BIRTHPLACE|BRANDON,MANITOBA'}"
39813,"{'BRANDON,MANITOBA|LEADERNAME|CONSERVATIVEPARTYOFCANADA', 'ALEXPLANTE|BIRTHPLACE|BRANDON,MANITOBA'}"
39814,"{'CANADA|ANTHEM|OCANADA', 'ADAMMCQUAID|BIRTHPLACE|CANADA'}"
39815,"{'CANADA|ANTHEM|OCANADA', 'ADAMMCQUAID|BIRTHPLACE|CANADA'}"
39816,"{'CANADA|ANTHEM|OCANADA', 'ADAMMCQUAID|BIRTHPLACE|CANADA'}"
39817,"{'ALEKSANDREGURULI|CLUB|FCDINAMOBATUMI', 'FCDINAMOBATUMI|MANAGER|LEVANKHOMERIKI'}"
39818,"{'ALEKSANDREGURULI|CLUB|FCDINAMOBATUMI', 'FCDINAMOBATUMI|MANAGER|LEVANKHOMERIKI'}"
39819,"{'ALEKSANDREGURULI|CLUB|FCDINAMOBATUMI', 'FCDINAMOBATUMI|MANAGER|LEVANKHOMERIKI'}"
39820,"{'ALEKSANDRPRUDNIKOV|CLUB|FCSPARTAKMOSCOW', 'FCSPARTAKMOSCOW|GROUND|OTKRYTIYEARENA'}"
39821,"{'ALEKSANDRPRUDNIKOV|CLUB|FCSPARTAKMOSCOW', 'FCSPARTAKMOSCOW|GROUND|OTKRYTIYEARENA'}"
39822,"{'ROPS|LEAGUE|VEIKKAUSLIIGA', 'AKEEMPRIESTLEY|CLUB|ROPS'}"
39823,"{'ROPS|LEAGUE|VEIKKAUSLIIGA', 'AKEEMPRIESTLEY|CLUB|ROPS'}"
39824,"{'ROPS|LEAGUE|VEIKKAUSLIIGA', 'AKEEMPRIESTLEY|CLUB|ROPS'}"
39825,"{'UNITEDPETROTRINF.C.|GROUND|PALOSECOVELODROME', 'AKEEMADAMS|CLUB|UNITEDPETROTRINF.C.'}"
39826,"{'UNITEDPETROTRINF.C.|GROUND|PALOSECOVELODROME', 'AKEEMADAMS|CLUB|UNITEDPETROTRINF.C.'}"
39827,"{'108STGEORGESTERRACE|COMPLETIONDATE|1988', '108STGEORGESTERRACE|FLOORCOUNT|50'}"
39828,"{'108STGEORGESTERRACE|COMPLETIONDATE|1988', '108STGEORGESTERRACE|FLOORCOUNT|50'}"
39829,"{'108STGEORGESTERRACE|COMPLETIONDATE|1988', '108STGEORGESTERRACE|FLOORCOUNT|50'}"
39830,"{'200PUBLICSQUARE|FLOORCOUNT|45', '200PUBLICSQUARE|LOCATION|UNITEDSTATES'}"
39831,"{'200PUBLICSQUARE|FLOORCOUNT|45', '200PUBLICSQUARE|LOCATION|UNITEDSTATES'}"
39832,"{'200PUBLICSQUARE|FLOORCOUNT|45', '200PUBLICSQUARE|LOCATION|UNITEDSTATES'}"
39833,"{'20FENCHURCHSTREET|FLOORAREA|62145.3(SQUAREMETRES)', '20FENCHURCHSTREET|FLOORCOUNT|34'}"
39834,"{'20FENCHURCHSTREET|FLOORAREA|62145.3(SQUAREMETRES)', '20FENCHURCHSTREET|FLOORCOUNT|34'}"
39835,"{'20FENCHURCHSTREET|FLOORAREA|62145.3(SQUAREMETRES)', '20FENCHURCHSTREET|FLOORCOUNT|34'}"
39836,"{'300NORTHLASALLE|LOCATION|CHICAGO', '300NORTHLASALLE|FLOORCOUNT|60'}"
39837,"{'300NORTHLASALLE|LOCATION|CHICAGO', '300NORTHLASALLE|FLOORCOUNT|60'}"
39838,"{'300NORTHLASALLE|LOCATION|CHICAGO', '300NORTHLASALLE|FLOORCOUNT|60'}"
39839,"{'GEORGEWINKLER|COUNTRY|UNITEDSTATES', '320SOUTHBOSTONBUILDING|ARCHITECT|GEORGEWINKLER'}"
39840,"{'GEORGEWINKLER|COUNTRY|UNITEDSTATES', '320SOUTHBOSTONBUILDING|ARCHITECT|GEORGEWINKLER'}"
39841,"{'GEORGEWINKLER|COUNTRY|UNITEDSTATES', '320SOUTHBOSTONBUILDING|ARCHITECT|GEORGEWINKLER'}"
39842,"{'3ARENA|LOCATION|EASTLINKBRIDGE', '3ARENA|ARCHITECT|HOKSVE'}"
39843,"{'3ARENA|LOCATION|EASTLINKBRIDGE', '3ARENA|ARCHITECT|HOKSVE'}"
39844,"{'3ARENA|LOCATION|EASTLINKBRIDGE', '3ARENA|ARCHITECT|HOKSVE'}"
39845,"{'3ARENA|LOCATION|DUBLIN', '3ARENA|ARCHITECT|POPULOUS(COMPANY)'}"
39846,"{'3ARENA|LOCATION|DUBLIN', '3ARENA|ARCHITECT|POPULOUS(COMPANY)'}"
39847,"{'3ARENA|LOCATION|DUBLIN', '3ARENA|ARCHITECT|POPULOUS(COMPANY)'}"
39848,"{'ACHOTELBELLASKYCOPENHAGEN|LOCATION|COPENHAGEN', 'ACHOTELBELLASKYCOPENHAGEN|TENANT|MARRIOTTINTERNATIONAL'}"
39849,"{'ACHOTELBELLASKYCOPENHAGEN|LOCATION|COPENHAGEN', 'ACHOTELBELLASKYCOPENHAGEN|TENANT|MARRIOTTINTERNATIONAL'}"
39850,"{'ACHOTELBELLASKYCOPENHAGEN|LOCATION|COPENHAGEN', 'ACHOTELBELLASKYCOPENHAGEN|TENANT|MARRIOTTINTERNATIONAL'}"
39851,"{'ADAREMANOR|COMPLETIONDATE|1862', 'ADAREMANOR|ARCHITECT|GEORGERICHARDPAIN'}"
39852,"{'ADAREMANOR|COMPLETIONDATE|1862', 'ADAREMANOR|ARCHITECT|GEORGERICHARDPAIN'}"
39853,"{'ADAREMANOR|LOCATION|COUNTYLIMERICK', 'ADAREMANOR|LOCATION|ADARE'}"
39854,"{'ADAREMANOR|LOCATION|COUNTYLIMERICK', 'ADAREMANOR|LOCATION|ADARE'}"
39855,"{'ADAREMANOR|LOCATION|COUNTYLIMERICK', 'ADAREMANOR|LOCATION|ADARE'}"
39856,"{'ADDISABABACITYHALL|COUNTRY|ETHIOPIA', 'ADDISABABACITYHALL|LOCATION|ADDISABABA'}"
39857,"{'ADDISABABACITYHALL|COUNTRY|ETHIOPIA', 'ADDISABABACITYHALL|LOCATION|ADDISABABA'}"
39858,"{'ADISHAMHALL|LOCATION|HAPUTALE,SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
39859,"{'ADISHAMHALL|LOCATION|HAPUTALE,SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
39860,"{'ADISHAMHALL|LOCATION|HAPUTALE,SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
39861,"{'ADISHAMHALL|LOCATION|SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
39862,"{'ADISHAMHALL|LOCATION|SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
39863,"{'ADISHAMHALL|LOCATION|SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
39864,"{'AKITAMUSEUMOFART|COUNTRY|JAPAN', 'JAPAN|ETHNICGROUP|BRAZILIANSINJAPAN'}"
39865,"{'AKITAMUSEUMOFART|COUNTRY|JAPAN', 'JAPAN|ETHNICGROUP|BRAZILIANSINJAPAN'}"
39866,"{'AKITAMUSEUMOFART|COUNTRY|JAPAN', 'JAPAN|ETHNICGROUP|BRAZILIANSINJAPAN'}"
39867,"{'AKITAMUSEUMOFART|ADDRESS|1-4-2NAKADORI', 'AKITAMUSEUMOFART|FLOORCOUNT|3'}"
39868,"{'AKITAMUSEUMOFART|ADDRESS|1-4-2NAKADORI', 'AKITAMUSEUMOFART|FLOORCOUNT|3'}"
39869,"{'AMDAVADNIGUFA|LOCATION|GUJARAT', 'AMDAVADNIGUFA|ADDRESS|LALBHAIDALPATBHAICAMPUS,NEARCEPTUNIVERSITY,OPP.GUJARATUNIVERSITY,UNIVERSITYROAD'}"
39870,"{'AMDAVADNIGUFA|LOCATION|GUJARAT', 'AMDAVADNIGUFA|ADDRESS|LALBHAIDALPATBHAICAMPUS,NEARCEPTUNIVERSITY,OPP.GUJARATUNIVERSITY,UNIVERSITYROAD'}"
39871,"{'AMPARAHOSPITAL|STATE|EASTERNPROVINCE,SRILANKA', 'EASTERNPROVINCE,SRILANKA|LEADERNAME|AUSTINFERNANDO'}"
39872,"{'AMPARAHOSPITAL|STATE|EASTERNPROVINCE,SRILANKA', 'EASTERNPROVINCE,SRILANKA|LEADERNAME|AUSTINFERNANDO'}"
39873,"{'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY', 'NEWYORKCITY|COUNTRY|UNITEDSTATES'}"
39874,"{'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY', 'NEWYORKCITY|COUNTRY|UNITEDSTATES'}"
39875,"{'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY', 'NEWYORKCITY|ISPARTOF|BROOKLYN'}"
39876,"{'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY', 'NEWYORKCITY|ISPARTOF|BROOKLYN'}"
39877,"{'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY', 'NEWYORKCITY|ISPARTOF|BROOKLYN'}"
39878,"{'COUNTYLIMERICK|ISPARTOF|MUNSTER', 'ADAREMANOR|LOCATION|COUNTYLIMERICK'}"
39879,"{'COUNTYLIMERICK|ISPARTOF|MUNSTER', 'ADAREMANOR|LOCATION|COUNTYLIMERICK'}"
39880,"{'COUNTYLIMERICK|ISPARTOF|MUNSTER', 'ADAREMANOR|LOCATION|COUNTYLIMERICK'}"
39881,"{'3ARENA|LOCATION|DUBLIN', 'DUBLIN|ISPARTOF|REPUBLICOFIRELAND'}"
39882,"{'3ARENA|LOCATION|DUBLIN', 'DUBLIN|ISPARTOF|REPUBLICOFIRELAND'}"
39883,"{'3ARENA|LOCATION|DUBLIN', 'DUBLIN|ISPARTOF|REPUBLICOFIRELAND'}"
39884,"{'(19255)1994VK8|APOAPSIS|6603633000.0(KILOMETRES)', '(19255)1994VK8|ESCAPEVELOCITY|0.0925(KILOMETREPERSECONDS)'}"
39885,"{'(19255)1994VK8|APOAPSIS|6603633000.0(KILOMETRES)', '(19255)1994VK8|ESCAPEVELOCITY|0.0925(KILOMETREPERSECONDS)'}"
39886,"{'(19255)1994VK8|APOAPSIS|6603633000.0(KILOMETRES)', '(19255)1994VK8|ESCAPEVELOCITY|0.0925(KILOMETREPERSECONDS)'}"
39887,"{'(66391)1999KW4|EPOCH|2004-07-14', '(66391)1999KW4|ORBITALPERIOD|16244700.0'}"
39888,"{'(66391)1999KW4|EPOCH|2004-07-14', '(66391)1999KW4|ORBITALPERIOD|16244700.0'}"
39889,"{'(66391)1999KW4|EPOCH|2004-07-14', '(66391)1999KW4|ORBITALPERIOD|16244700.0'}"
39890,"{'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS', '101HELENA|DISCOVERER|JAMESCRAIGWATSON'}"
39891,"{'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS', '101HELENA|DISCOVERER|JAMESCRAIGWATSON'}"
39892,"{'WALTERBAADE|BIRTHPLACE|GERMANEMPIRE', '1036GANYMED|DISCOVERER|WALTERBAADE'}"
39893,"{'WALTERBAADE|BIRTHPLACE|GERMANEMPIRE', '1036GANYMED|DISCOVERER|WALTERBAADE'}"
39894,"{'WALTERBAADE|BIRTHPLACE|GERMANEMPIRE', '1036GANYMED|DISCOVERER|WALTERBAADE'}"
39895,"{'WALTERBAADE|NATIONALITY|GERMANY', '1036GANYMED|DISCOVERER|WALTERBAADE'}"
39896,"{'WALTERBAADE|NATIONALITY|GERMANY', '1036GANYMED|DISCOVERER|WALTERBAADE'}"
39897,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS'}"
39898,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS'}"
39899,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS'}"
39900,"{'107CAMILLA|DISCOVERER|N.R.POGSON', 'N.R.POGSON|BIRTHPLACE|NOTTINGHAM'}"
39901,"{'107CAMILLA|DISCOVERER|N.R.POGSON', 'N.R.POGSON|BIRTHPLACE|NOTTINGHAM'}"
39902,"{'107CAMILLA|DISCOVERER|N.R.POGSON', 'N.R.POGSON|BIRTHPLACE|NOTTINGHAM'}"
39903,"{'1089TAMA|EPOCH|2005-11-26', '1089TAMA|FORMERNAME|A919HA1927WB'}"
39904,"{'1089TAMA|EPOCH|2005-11-26', '1089TAMA|FORMERNAME|A919HA1927WB'}"
39905,"{'1089TAMA|EPOCH|2005-11-26', '1089TAMA|FORMERNAME|A919HA1927WB'}"
39906,"{'1089TAMA|TEMPERATURE|179.0(KELVINS)', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
39907,"{'1089TAMA|TEMPERATURE|179.0(KELVINS)', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
39908,"{'1089TAMA|TEMPERATURE|179.0(KELVINS)', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
39909,"{'1097VICIA|PERIAPSIS|279142000000.0', '1097VICIA|EPOCH|2006-12-31'}"
39910,"{'1097VICIA|PERIAPSIS|279142000000.0', '1097VICIA|EPOCH|2006-12-31'}"
39911,"{'1097VICIA|PERIAPSIS|279142000000.0', '1097VICIA|EPOCH|2006-12-31'}"
39912,"{'109FELICITAS|TEMPERATURE|170.0(KELVINS)', '109FELICITAS|APOAPSIS|523329000.0(KILOMETRES)'}"
39913,"{'109FELICITAS|TEMPERATURE|170.0(KELVINS)', '109FELICITAS|APOAPSIS|523329000.0(KILOMETRES)'}"
39914,"{'109FELICITAS|TEMPERATURE|170.0(KELVINS)', '109FELICITAS|APOAPSIS|523329000.0(KILOMETRES)'}"
39915,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|PERIAPSIS|283326000000.0'}"
39916,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|PERIAPSIS|283326000000.0'}"
39917,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|PERIAPSIS|283326000000.0'}"
39918,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ROTATIONPERIOD|47487.6'}"
39919,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ROTATIONPERIOD|47487.6'}"
39920,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ROTATIONPERIOD|47487.6'}"
39921,"{'10HYGIEA|TEMPERATURE|164.0(KELVINS)', '10HYGIEA|APOAPSIS|523951582.33968(KILOMETRES)'}"
39922,"{'10HYGIEA|TEMPERATURE|164.0(KELVINS)', '10HYGIEA|APOAPSIS|523951582.33968(KILOMETRES)'}"
39923,"{'10HYGIEA|TEMPERATURE|164.0(KELVINS)', '10HYGIEA|APOAPSIS|523951582.33968(KILOMETRES)'}"
39924,"{'110LYDIA|MASS|6.7(KILOGRAMS)', '110LYDIA|EPOCH|2006-12-31'}"
39925,"{'110LYDIA|MASS|6.7(KILOGRAMS)', '110LYDIA|EPOCH|2006-12-31'}"
39926,"{'110LYDIA|MASS|6.7(KILOGRAMS)', '110LYDIA|EPOCH|2006-12-31'}"
39927,"{'110LYDIA|EPOCH|2006-12-31', '110LYDIA|ORBITALPERIOD|142603000.0'}"
39928,"{'110LYDIA|EPOCH|2006-12-31', '110LYDIA|ORBITALPERIOD|142603000.0'}"
39929,"{'110LYDIA|EPOCH|2006-12-31', '110LYDIA|ORBITALPERIOD|142603000.0'}"
39930,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
39931,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
39932,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
39933,"{'OREGON|CAPITAL|SALEM,OREGON', 'ALBANY,OREGON|ISPARTOF|OREGON'}"
39934,"{'OREGON|CAPITAL|SALEM,OREGON', 'ALBANY,OREGON|ISPARTOF|OREGON'}"
39935,"{'ALBUQUERQUE,NEWMEXICO|LEADERTITLE|UNITEDSTATESHOUSEOFREPRESENTATIVES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39936,"{'ALBUQUERQUE,NEWMEXICO|LEADERTITLE|UNITEDSTATESHOUSEOFREPRESENTATIVES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39937,"{'ALBUQUERQUE,NEWMEXICO|LEADERTITLE|UNITEDSTATESHOUSEOFREPRESENTATIVES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39938,"{'AMARILLO,TEXAS|ISPARTOF|TEXAS', 'AMARILLO,TEXAS|COUNTRY|UNITEDSTATES'}"
39939,"{'AMARILLO,TEXAS|ISPARTOF|TEXAS', 'AMARILLO,TEXAS|COUNTRY|UNITEDSTATES'}"
39940,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'ANAHEIM,CALIFORNIA|LEADERTITLE|UNITEDSTATESHOUSEOFREPRESENTATIVES'}"
39941,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'ANAHEIM,CALIFORNIA|LEADERTITLE|UNITEDSTATESHOUSEOFREPRESENTATIVES'}"
39942,"{'ORANGECOUNTY,CALIFORNIA|COUNTRY|UNITEDSTATES', 'ANAHEIM,CALIFORNIA|ISPARTOF|ORANGECOUNTY,CALIFORNIA'}"
39943,"{'ORANGECOUNTY,CALIFORNIA|COUNTRY|UNITEDSTATES', 'ANAHEIM,CALIFORNIA|ISPARTOF|ORANGECOUNTY,CALIFORNIA'}"
39944,"{'ANDERSON,INDIANA|ISPARTOF|ADAMSTOWNSHIP,MADISONCOUNTY,INDIANA', 'ADAMSTOWNSHIP,MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES'}"
39945,"{'ANDERSON,INDIANA|ISPARTOF|ADAMSTOWNSHIP,MADISONCOUNTY,INDIANA', 'ADAMSTOWNSHIP,MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES'}"
39946,"{'ANDERSON,INDIANA|ISPARTOF|ADAMSTOWNSHIP,MADISONCOUNTY,INDIANA', 'ADAMSTOWNSHIP,MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES'}"
39947,"{'ANTIOCH,CALIFORNIA|ELEVATIONABOVETHESEALEVEL|13.0', 'ANTIOCH,CALIFORNIA|AREATOTAL|75.324(SQUAREKILOMETRES)'}"
39948,"{'ANTIOCH,CALIFORNIA|ELEVATIONABOVETHESEALEVEL|13.0', 'ANTIOCH,CALIFORNIA|AREATOTAL|75.324(SQUAREKILOMETRES)'}"
39949,"{'ARLINGTON,TEXAS|AREATOTAL|258.2(SQUAREKILOMETRES)', 'ARLINGTON,TEXAS|ELEVATIONABOVETHESEALEVEL|184.0'}"
39950,"{'ARLINGTON,TEXAS|AREATOTAL|258.2(SQUAREKILOMETRES)', 'ARLINGTON,TEXAS|ELEVATIONABOVETHESEALEVEL|184.0'}"
39951,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|COUNTRY|UNITEDSTATES'}"
39952,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|COUNTRY|UNITEDSTATES'}"
39953,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|COUNTRY|UNITEDSTATES'}"
39954,"{'ATLANTA|COUNTRY|UNITEDSTATES', 'ATLANTA|ISPARTOF|GEORGIA'}"
39955,"{'ATLANTA|COUNTRY|UNITEDSTATES', 'ATLANTA|ISPARTOF|GEORGIA'}"
39956,"{'ATLANTA|COUNTRY|UNITEDSTATES', 'ATLANTA|ISPARTOF|GEORGIA'}"
39957,"{'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY', 'ATLANTICCITY,NEWJERSEY|COUNTRY|UNITEDSTATES'}"
39958,"{'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY', 'ATLANTICCITY,NEWJERSEY|COUNTRY|UNITEDSTATES'}"
39959,"{'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'ATLANTICCITY,NEWJERSEY|COUNTRY|UNITEDSTATES'}"
39960,"{'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'ATLANTICCITY,NEWJERSEY|COUNTRY|UNITEDSTATES'}"
39961,"{'ATLANTICCOUNTY,NEWJERSEY|COUNTRY|UNITEDSTATES', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY'}"
39962,"{'ATLANTICCOUNTY,NEWJERSEY|COUNTRY|UNITEDSTATES', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY'}"
39963,"{'ATLANTICCOUNTY,NEWJERSEY|COUNTRY|UNITEDSTATES', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY'}"
39964,"{'ATLANTICCITY,NEWJERSEY|POPULATIONDENSITY|1421.2(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)'}"
39965,"{'ATLANTICCITY,NEWJERSEY|POPULATIONDENSITY|1421.2(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)'}"
39966,"{'ATLANTICCITY,NEWJERSEY|POPULATIONDENSITY|1421.2(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)'}"
39967,"{'PIERCECOUNTY,WASHINGTON|COUNTRY|UNITEDSTATES', 'AUBURN,WASHINGTON|ISPARTOF|PIERCECOUNTY,WASHINGTON'}"
39968,"{'PIERCECOUNTY,WASHINGTON|COUNTRY|UNITEDSTATES', 'AUBURN,WASHINGTON|ISPARTOF|PIERCECOUNTY,WASHINGTON'}"
39969,"{'PIERCECOUNTY,WASHINGTON|COUNTRY|UNITEDSTATES', 'AUBURN,WASHINGTON|ISPARTOF|PIERCECOUNTY,WASHINGTON'}"
39970,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
39971,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
39972,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
39973,"{'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AMARILLO,TEXAS|COUNTRY|UNITEDSTATES'}"
39974,"{'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AMARILLO,TEXAS|COUNTRY|UNITEDSTATES'}"
39975,"{'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AMARILLO,TEXAS|COUNTRY|UNITEDSTATES'}"
39976,"{'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39977,"{'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39978,"{'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39979,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|UNITEDSTATES'}"
39980,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|UNITEDSTATES'}"
39981,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|UNITEDSTATES'}"
39982,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES'}"
39983,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES'}"
39984,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES'}"
39985,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE'}"
39986,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE'}"
39987,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE'}"
39988,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39989,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39990,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
39991,"{'APRILONEIL|CREATOR|PETERLAIRD', 'PETERLAIRD|NATIONALITY|UNITEDSTATES'}"
39992,"{'APRILONEIL|CREATOR|PETERLAIRD', 'PETERLAIRD|NATIONALITY|UNITEDSTATES'}"
39993,"{'APRILONEIL|CREATOR|PETERLAIRD', 'PETERLAIRD|NATIONALITY|UNITEDSTATES'}"
39994,"{'BANANAMAN|BROADCASTEDBY|BBC', 'BANANAMAN|STARRING|JILLSHILLING'}"
39995,"{'BANANAMAN|BROADCASTEDBY|BBC', 'BANANAMAN|STARRING|JILLSHILLING'}"
39996,"{'BANANAMAN|BROADCASTEDBY|STV', 'BANANAMAN|STARRING|GRAEMEGARDEN'}"
39997,"{'BANANAMAN|BROADCASTEDBY|STV', 'BANANAMAN|STARRING|GRAEMEGARDEN'}"
39998,"{'BANANAMAN|BROADCASTEDBY|STV', 'BANANAMAN|STARRING|GRAEMEGARDEN'}"
39999,"{'BANANAMAN|STARRING|TIMBROOKE-TAYLOR', 'TIMBROOKE-TAYLOR|BIRTHPLACE|DERBYSHIRE'}"
40000,"{'BANANAMAN|STARRING|TIMBROOKE-TAYLOR', 'TIMBROOKE-TAYLOR|BIRTHPLACE|DERBYSHIRE'}"
40001,"{'BIGHERO6(FILM)|STARRING|ALANTUDYK', 'BAYMAX|FIRSTAPPEARANCEINFILM|BIGHERO6(FILM)'}"
