,sd
81030,"{'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'RHYTHMANDBLUES|DERIVATIVE|DISCO', 'ALBENNIEJONES|GENRE|RHYTHMANDBLUES'}"
81032,"{'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'RHYTHMANDBLUES|DERIVATIVE|DISCO', 'ALBENNIEJONES|GENRE|RHYTHMANDBLUES'}"
81034,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BEBIDOL', 'ALEKSANDRAKOVAC|GENRE|POPMUSIC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)'}"
81036,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BEBIDOL', 'ALEKSANDRAKOVAC|GENRE|POPMUSIC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)'}"
81038,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BEBIDOL', 'ALEKSANDRAKOVAC|GENRE|POPMUSIC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)'}"
81040,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KRISTINAKOVAC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)', 'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES'}"
81042,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KRISTINAKOVAC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)', 'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES'}"
81044,"{'SYNTHPOP|STYLISTICORIGIN|POPMUSIC', 'ALEXDAY|GENRE|SYNTHPOP', 'SYNTHPOP|STYLISTICORIGIN|DISCO'}"
81046,"{'SYNTHPOP|STYLISTICORIGIN|POPMUSIC', 'ALEXDAY|GENRE|SYNTHPOP', 'SYNTHPOP|STYLISTICORIGIN|DISCO'}"
81048,"{'SYNTHPOP|STYLISTICORIGIN|POPMUSIC', 'ALEXDAY|GENRE|SYNTHPOP', 'SYNTHPOP|STYLISTICORIGIN|DISCO'}"
81050,"{'ALFREDGARTHJONES|BIRTHPLACE|ENGLAND', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER'}"
81052,"{'ALFREDGARTHJONES|BIRTHPLACE|ENGLAND', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER'}"
81054,"{'ALFREDGARTHJONES|BIRTHPLACE|ENGLAND', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER'}"
81056,"{'ALFREDGARTHJONES|BIRTHPLACE|ENGLAND', 'ALFREDGARTHJONES|NATIONALITY|UNITEDKINGDOM', 'ALFREDGARTHJONES|DEATHPLACE|LONDON'}"
81058,"{'ALFREDGARTHJONES|BIRTHPLACE|ENGLAND', 'ALFREDGARTHJONES|NATIONALITY|UNITEDKINGDOM', 'ALFREDGARTHJONES|DEATHPLACE|LONDON'}"
81060,"{'ALFREDGARTHJONES|BIRTHPLACE|ENGLAND', 'ALFREDGARTHJONES|NATIONALITY|UNITEDKINGDOM', 'ALFREDGARTHJONES|DEATHPLACE|LONDON'}"
81062,"{'MANCHESTER|LEADERNAME|LABOURPARTY(UK)', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER'}"
81064,"{'MANCHESTER|LEADERNAME|LABOURPARTY(UK)', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER'}"
81066,"{'MANCHESTER|LEADERNAME|LABOURPARTY(UK)', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER'}"
81068,"{'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MELLOWCANDLE', 'ALISONODONNELL|GENRE|FOLKMUSICOFIRELAND', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|FLIBBERTIGIBBET'}"
81070,"{'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MELLOWCANDLE', 'ALISONODONNELL|GENRE|FOLKMUSICOFIRELAND', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|FLIBBERTIGIBBET'}"
81072,"{'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MELLOWCANDLE', 'ALISONODONNELL|GENRE|FOLKMUSICOFIRELAND', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|FLIBBERTIGIBBET'}"
81074,"{'ALISONODONNELL|GENRE|FOLKMUSIC', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|FLIBBERTIGIBBET', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MELLOWCANDLE'}"
81076,"{'ALISONODONNELL|GENRE|FOLKMUSIC', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|FLIBBERTIGIBBET', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MELLOWCANDLE'}"
81078,"{'ALISONODONNELL|GENRE|FOLKMUSIC', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|FLIBBERTIGIBBET', 'ALISONODONNELL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MELLOWCANDLE'}"
81080,"{'ALISONODONNELL|INSTRUMENT|VOICE,BODHRAN,PERCUSSION,AUTOHARP', 'ALISONODONNELL|GENRE|JAZZ', 'JAZZ|DERIVATIVE|FUNK'}"
81082,"{'ALISONODONNELL|INSTRUMENT|VOICE,BODHRAN,PERCUSSION,AUTOHARP', 'ALISONODONNELL|GENRE|JAZZ', 'JAZZ|DERIVATIVE|FUNK'}"
81084,"{'ALISONODONNELL|INSTRUMENT|VOICE,BODHRAN,PERCUSSION,AUTOHARP', 'ALISONODONNELL|GENRE|JAZZ', 'JAZZ|DERIVATIVE|FUNK'}"
81086,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|GENRE|POPMUSIC', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA'}"
81088,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|GENRE|POPMUSIC', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA'}"
81090,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|GENRE|POPMUSIC', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA'}"
81092,"{'ALLENFORREST|GENRE|RHYTHMANDBLUES', 'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA'}"
81094,"{'ALLENFORREST|GENRE|RHYTHMANDBLUES', 'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA'}"
81096,"{'ALLENFORREST|GENRE|RHYTHMANDBLUES', 'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA'}"
81098,"{'ALTERNATIVEROCK|STYLISTICORIGIN|NEWWAVEMUSIC', 'ANDREWWHITE(MUSICIAN)|GENRE|ALTERNATIVEROCK', 'ALTERNATIVEROCK|MUSICFUSIONGENRE|NUMETAL'}"
81100,"{'ALTERNATIVEROCK|STYLISTICORIGIN|NEWWAVEMUSIC', 'ANDREWWHITE(MUSICIAN)|GENRE|ALTERNATIVEROCK', 'ALTERNATIVEROCK|MUSICFUSIONGENRE|NUMETAL'}"
81102,"{'ALTERNATIVEROCK|STYLISTICORIGIN|NEWWAVEMUSIC', 'ANDREWWHITE(MUSICIAN)|GENRE|ALTERNATIVEROCK', 'ALTERNATIVEROCK|MUSICFUSIONGENRE|NUMETAL'}"
81104,"{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BILLYIUSO', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TABBENOIT', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KIRKJOSEPH'}"
81106,"{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BILLYIUSO', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TABBENOIT', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KIRKJOSEPH'}"
81108,"{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BILLYIUSO', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TABBENOIT', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KIRKJOSEPH'}"
81110,"{'ANDERSOSBORNE|GENRE|ROCKMUSIC', 'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'ANDERSOSBORNE|RECORDLABEL|RABADASHRECORDS'}"
81112,"{'ANDERSOSBORNE|GENRE|ROCKMUSIC', 'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'ANDERSOSBORNE|RECORDLABEL|RABADASHRECORDS'}"
81114,"{'ANDERSOSBORNE|GENRE|ROCKMUSIC', 'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'ANDERSOSBORNE|RECORDLABEL|RABADASHRECORDS'}"
81116,"{'ANDRA(SINGER)|GENRE|DANCE-POP', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|PUYA(SINGER)', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|CRBL'}"
81118,"{'ANDRA(SINGER)|GENRE|DANCE-POP', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|PUYA(SINGER)', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|CRBL'}"
81120,"{'ANDRA(SINGER)|GENRE|DANCE-POP', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|PUYA(SINGER)', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|CRBL'}"
81122,"{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARIUSMOGA', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|ANDREEABALAN'}"
81124,"{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARIUSMOGA', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|ANDREEABALAN'}"
81126,"{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARIUSMOGA', 'ANDRA(SINGER)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|ANDREEABALAN'}"
81128,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JONATHANMENDELSOHN', 'ANDREWRAYEL|GENRE|TRANCEMUSIC', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|CHRISTIANBURNS'}"
81130,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JONATHANMENDELSOHN', 'ANDREWRAYEL|GENRE|TRANCEMUSIC', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|CHRISTIANBURNS'}"
81132,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JONATHANMENDELSOHN', 'ANDREWRAYEL|GENRE|TRANCEMUSIC', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|CHRISTIANBURNS'}"
81134,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BOBINA', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JONATHANMENDELSOHN', 'ANDREWRAYEL|GENRE|TRANCEMUSIC'}"
81136,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BOBINA', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JONATHANMENDELSOHN', 'ANDREWRAYEL|GENRE|TRANCEMUSIC'}"
81138,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BOBINA', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JONATHANMENDELSOHN', 'ANDREWRAYEL|GENRE|TRANCEMUSIC'}"
81140,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|UNIVERSALRECORDS(DEFUNCTRECORDLABEL)', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KAISERCHIEFS'}"
81142,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|UNIVERSALRECORDS(DEFUNCTRECORDLABEL)', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KAISERCHIEFS'}"
81144,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|UNIVERSALRECORDS(DEFUNCTRECORDLABEL)', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KAISERCHIEFS'}"
81146,"{'SKAPUNK|STYLISTICORIGIN|SKA', 'AARONBERTRAM|GENRE|SKAPUNK', 'AARONBERTRAM|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|SUBURBANLEGENDS'}"
81148,"{'SKAPUNK|STYLISTICORIGIN|SKA', 'AARONBERTRAM|GENRE|SKAPUNK', 'AARONBERTRAM|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|SUBURBANLEGENDS'}"
81150,"{'SKAPUNK|STYLISTICORIGIN|SKA', 'AARONBERTRAM|GENRE|SKAPUNK', 'AARONBERTRAM|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|SUBURBANLEGENDS'}"
81152,"{'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'ALBENNIEJONES|BIRTHPLACE|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
81154,"{'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'ALBENNIEJONES|BIRTHPLACE|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
81156,"{'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'ALBENNIEJONES|BIRTHPLACE|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
81158,"{'ALANBEAN|NATIONALITY|UNITEDSTATES', 'ALANBEAN|STATUS|RETIRED', 'ALANBEAN|BIRTHPLACE|WHEELER,TEXAS'}"
81160,"{'ALANBEAN|NATIONALITY|UNITEDSTATES', 'ALANBEAN|STATUS|RETIRED', 'ALANBEAN|BIRTHPLACE|WHEELER,TEXAS'}"
81162,"{'ALANBEAN|NATIONALITY|UNITEDSTATES', 'ALANBEAN|STATUS|RETIRED', 'ALANBEAN|BIRTHPLACE|WHEELER,TEXAS'}"
81164,"{'BUZZALDRIN|BIRTHPLACE|GLENRIDGE,NEWJERSEY', 'BUZZALDRIN|NATIONALITY|UNITEDSTATES', 'UNITEDSTATES|LEADERNAME|JOEBIDEN'}"
81166,"{'BUZZALDRIN|NATIONALITY|UNITEDSTATES', 'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
81168,"{'BUZZALDRIN|NATIONALITY|UNITEDSTATES', 'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
81170,"{'BUZZALDRIN|NATIONALITY|UNITEDSTATES', 'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
81172,"{'BUZZALDRIN|NATIONALITY|UNITEDSTATES', 'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
81174,"{'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN', 'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES'}"
81176,"{'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN', 'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES'}"
81178,"{'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN', 'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES'}"
81180,"{'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN', 'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES'}"
81182,"{'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|WASSELECTEDBYNASA|1962', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
81184,"{'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|WASSELECTEDBYNASA|1962', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
81186,"{'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|WASSELECTEDBYNASA|1962', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
81188,"{'ST.LOUIS|LEADERNAME|FRANCISG.SLAY', 'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
81190,"{'ST.LOUIS|LEADERNAME|FRANCISG.SLAY', 'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
81192,"{'ST.LOUIS|LEADERNAME|FRANCISG.SLAY', 'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
81194,"{'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|DEATHDATE|1966-02-28', 'ST.LOUIS|ISPARTOF|KINGDOMOFFRANCE'}"
81196,"{'ELLIOTSEE|DEATHPLACE|ST.LOUIS', 'ELLIOTSEE|DEATHDATE|1966-02-28', 'ST.LOUIS|ISPARTOF|KINGDOMOFFRANCE'}"
81198,"{'ALANSHEPARD|BIRTHPLACE|NEWHAMPSHIRE', 'ALANSHEPARD|TIMEINSPACE|13017.0(MINUTES)', 'NEWHAMPSHIRE|BIRD|PURPLEFINCH'}"
81200,"{'AARONHUNT|CLUB|SVWERDERBREMENII', 'AARONHUNT|CLUB|VFLWOLFSBURG', 'VFLWOLFSBURG|MANAGER|DIETERHECKING'}"
81202,"{'AARONHUNT|CLUB|SVWERDERBREMENII', 'AARONHUNT|CLUB|VFLWOLFSBURG', 'VFLWOLFSBURG|MANAGER|DIETERHECKING'}"
81204,"{'ABELHERNANDEZ|CLUB|U.S.CITTADIPALERMO', 'ABELHERNANDEZ|CLUB|HULLCITYA.F.C.', 'ABELHERNANDEZ|YOUTHCLUB|CENTRALESPANOL'}"
81206,"{'ABELHERNANDEZ|CLUB|U.S.CITTADIPALERMO', 'ABELHERNANDEZ|CLUB|HULLCITYA.F.C.', 'ABELHERNANDEZ|YOUTHCLUB|CENTRALESPANOL'}"
81208,"{'ABELHERNANDEZ|CLUB|U.S.CITTADIPALERMO', 'ABELHERNANDEZ|CLUB|HULLCITYA.F.C.', 'ABELHERNANDEZ|YOUTHCLUB|CENTRALESPANOL'}"
81210,"{'ADAMMAHER|CLUB|PSVEINDHOVEN', 'ADAMMAHER|CLUB|AZALKMAAR', 'ADAMMAHER|BIRTHPLACE|NETHERLANDS'}"
81212,"{'ADAMMAHER|CLUB|PSVEINDHOVEN', 'ADAMMAHER|CLUB|AZALKMAAR', 'ADAMMAHER|BIRTHPLACE|NETHERLANDS'}"
81214,"{'ADAMMAHER|CLUB|PSVEINDHOVEN', 'ADAMMAHER|CLUB|AZALKMAAR', 'ADAMMAHER|BIRTHPLACE|NETHERLANDS'}"
81216,"{'AKEEMADAMS|CLUB|UNITEDPETROTRINF.C.', 'UNITEDPETROTRINF.C.|GROUND|PALOSECO', 'AKEEMADAMS|CLUB|WCONNECTIONF.C.'}"
81218,"{'AKEEMADAMS|CLUB|UNITEDPETROTRINF.C.', 'UNITEDPETROTRINF.C.|GROUND|PALOSECO', 'AKEEMADAMS|CLUB|WCONNECTIONF.C.'}"
81220,"{'AKEEMADAMS|CLUB|UNITEDPETROTRINF.C.', 'UNITEDPETROTRINF.C.|GROUND|PALOSECO', 'AKEEMADAMS|CLUB|WCONNECTIONF.C.'}"
81222,"{'AKEEMAYERS|FORMERTEAM|LOSANGELESRAMS', 'AKEEMAYERS|DRAFTPICK|39', 'AKEEMAYERS|DRAFTROUND|2'}"
81224,"{'AKEEMAYERS|FORMERTEAM|LOSANGELESRAMS', 'AKEEMAYERS|DRAFTPICK|39', 'AKEEMAYERS|DRAFTROUND|2'}"
81226,"{'ALAAABDUL-ZAHRA|BIRTHPLACE|IRAQ', 'ALAAABDUL-ZAHRA|CLUB|IRAQNATIONALUNDER-20FOOTBALLTEAM', 'ALAAABDUL-ZAHRA|CLUB|SHABABAL-ORDONCLUB'}"
81228,"{'ALAAABDUL-ZAHRA|BIRTHPLACE|IRAQ', 'ALAAABDUL-ZAHRA|CLUB|IRAQNATIONALUNDER-20FOOTBALLTEAM', 'ALAAABDUL-ZAHRA|CLUB|SHABABAL-ORDONCLUB'}"
81230,"{'ALAAABDUL-ZAHRA|BIRTHPLACE|IRAQ', 'ALAAABDUL-ZAHRA|CLUB|IRAQNATIONALUNDER-20FOOTBALLTEAM', 'ALAAABDUL-ZAHRA|CLUB|SHABABAL-ORDONCLUB'}"
81232,"{'ALANMARTIN(FOOTBALLER)|CLUB|HAMILTONACADEMICALF.C.', 'ALANMARTIN(FOOTBALLER)|CLUB|CLYDEF.C.', 'ALANMARTIN(FOOTBALLER)|BIRTHDATE|1989-01-01'}"
81234,"{'ALANMARTIN(FOOTBALLER)|CLUB|HAMILTONACADEMICALF.C.', 'ALANMARTIN(FOOTBALLER)|CLUB|CLYDEF.C.', 'ALANMARTIN(FOOTBALLER)|BIRTHDATE|1989-01-01'}"
81236,"{'ALANMARTIN(FOOTBALLER)|CLUB|HAMILTONACADEMICALF.C.', 'ALANMARTIN(FOOTBALLER)|CLUB|CLYDEF.C.', 'ALANMARTIN(FOOTBALLER)|BIRTHDATE|1989-01-01'}"
81238,"{'ACCRINGTONSTANLEYF.C.|GROUND|ACCRINGTON', 'ALANMARTIN(FOOTBALLER)|CLUB|MOTHERWELLF.C.', 'ALANMARTIN(FOOTBALLER)|CLUB|ACCRINGTONSTANLEYF.C.'}"
81240,"{'ACCRINGTONSTANLEYF.C.|GROUND|ACCRINGTON', 'ALANMARTIN(FOOTBALLER)|CLUB|MOTHERWELLF.C.', 'ALANMARTIN(FOOTBALLER)|CLUB|ACCRINGTONSTANLEYF.C.'}"
81242,"{'ALEKSANDERBARKOV,JR.|BIRTHPLACE|TAMPERE,FINLAND', 'ALEKSANDERBARKOV,JR.|BIRTHDATE|1995-09-02', 'ALEKSANDERBARKOV,JR.|DRAFTTEAM|FLORIDAPANTHERS'}"
81244,"{'ALEKSANDERBARKOV,JR.|BIRTHPLACE|TAMPERE,FINLAND', 'ALEKSANDERBARKOV,JR.|BIRTHDATE|1995-09-02', 'ALEKSANDERBARKOV,JR.|DRAFTTEAM|FLORIDAPANTHERS'}"
81246,"{'ALEKSANDERBARKOV,JR.|BIRTHPLACE|TAMPERE,FINLAND', 'ALEKSANDERBARKOV,JR.|BIRTHDATE|1995-09-02', 'ALEKSANDERBARKOV,JR.|DRAFTTEAM|FLORIDAPANTHERS'}"
81248,"{'ALEKSANDRCHUMAKOV|BIRTHPLACE|SOVIETUNION', 'ALEKSANDRCHUMAKOV|DEATHPLACE|RUSSIA', 'RUSSIA|LEADERNAME|VLADIMIRPUTIN'}"
81250,"{'ALEKSANDRCHUMAKOV|BIRTHPLACE|SOVIETUNION', 'ALEKSANDRCHUMAKOV|DEATHPLACE|RUSSIA', 'RUSSIA|LEADERNAME|VLADIMIRPUTIN'}"
81252,"{'ALEKSANDRCHUMAKOV|BIRTHPLACE|SOVIETUNION', 'ALEKSANDRCHUMAKOV|DEATHPLACE|RUSSIA', 'RUSSIA|LEADERNAME|VLADIMIRPUTIN'}"
81254,"{'ALEKSANDRPRUDNIKOV|CLUB|FCALANIAVLADIKAVKAZ', 'ALEKSANDRPRUDNIKOV|CLUB|FCKUBANKRASNODAR', 'ALEKSANDRPRUDNIKOV|BIRTHDATE|1989-02-24'}"
81256,"{'ALEKSANDRPRUDNIKOV|CLUB|FCALANIAVLADIKAVKAZ', 'ALEKSANDRPRUDNIKOV|CLUB|FCKUBANKRASNODAR', 'ALEKSANDRPRUDNIKOV|BIRTHDATE|1989-02-24'}"
81258,"{'ALEKSANDRPRUDNIKOV|CLUB|FCALANIAVLADIKAVKAZ', 'ALEKSANDRPRUDNIKOV|CLUB|FCKUBANKRASNODAR', 'ALEKSANDRPRUDNIKOV|BIRTHDATE|1989-02-24'}"
81260,"{'ALEKSANDRPRUDNIKOV|CLUB|RUSSIANATIONALFOOTBALLBTEAM', 'ALEKSANDRPRUDNIKOV|CLUB|FCTOMTOMSK', 'ALEKSANDRPRUDNIKOV|BIRTHDATE|1989-02-24'}"
