,sd
14906,"{'SPRINGERSCIENCE+BUSINESSMEDIA|FOUNDER|JULIUSSPRINGER', 'ABHANDLUNGENAUSDEMMATHEMATISCHENSEMINARDERUNIVERSITATHAMBURG|PUBLISHER|SPRINGERSCIENCE+BUSINESSMEDIA'}"
14908,"{'SPRINGERSCIENCE+BUSINESSMEDIA|FOUNDER|JULIUSSPRINGER', 'ABHANDLUNGENAUSDEMMATHEMATISCHENSEMINARDERUNIVERSITATHAMBURG|PUBLISHER|SPRINGERSCIENCE+BUSINESSMEDIA'}"
14956,"{'ADMINISTRATIVESCIENCEQUARTERLY|PUBLISHER|CORNELLUNIVERSITY', 'CORNELLUNIVERSITY|CITY|ITHACA,NEWYORK', 'CORNELLUNIVERSITY|AFFILIATION|ASSOCIATIONOFPUBLICANDLAND-GRANTUNIVERSITIES', 'CORNELLUNIVERSITY|STATE|NEWYORK'}"
14958,"{'ADMINISTRATIVESCIENCEQUARTERLY|PUBLISHER|CORNELLUNIVERSITY', 'CORNELLUNIVERSITY|CITY|ITHACA,NEWYORK', 'CORNELLUNIVERSITY|AFFILIATION|ASSOCIATIONOFPUBLICANDLAND-GRANTUNIVERSITIES', 'CORNELLUNIVERSITY|STATE|NEWYORK'}"
14960,"{'ADMINISTRATIVESCIENCEQUARTERLY|PUBLISHER|CORNELLUNIVERSITY', 'CORNELLUNIVERSITY|CITY|ITHACA,NEWYORK', 'CORNELLUNIVERSITY|AFFILIATION|ASSOCIATIONOFPUBLICANDLAND-GRANTUNIVERSITIES', 'CORNELLUNIVERSITY|STATE|NEWYORK'}"
15036,"{'ALCORS-3|BUILDDATE|MAY1950-AUGUST1956', 'ALCORS-3|LENGTH|17068.8(MILLIMETRES)', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'ALCORS-3|ENGINE|FOUR-STROKEENGINE', 'ALCORS-3|CYLINDERCOUNT|12'}"
15038,"{'ALCORS-3|BUILDDATE|MAY1950-AUGUST1956', 'ALCORS-3|LENGTH|17068.8(MILLIMETRES)', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'ALCORS-3|ENGINE|FOUR-STROKEENGINE', 'ALCORS-3|CYLINDERCOUNT|12'}"
15040,"{'ALCORS-3|BUILDDATE|MAY1950-AUGUST1956', 'ALCORS-3|LENGTH|17068.8(MILLIMETRES)', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'ALCORS-3|ENGINE|FOUR-STROKEENGINE', 'ALCORS-3|CYLINDERCOUNT|12'}"
15072,"{'AMERICANJOURNALOFMATHEMATICS|ABBREVIATION|AM.J.MATH.', 'AMERICANJOURNALOFMATHEMATICS|ACADEMICDISCIPLINE|MATHEMATICS'}"
15074,"{'AMERICANJOURNALOFMATHEMATICS|ABBREVIATION|AM.J.MATH.', 'AMERICANJOURNALOFMATHEMATICS|ACADEMICDISCIPLINE|MATHEMATICS'}"
15076,"{'AMERICANJOURNALOFMATHEMATICS|ABBREVIATION|AM.J.MATH.', 'AMERICANJOURNALOFMATHEMATICS|ACADEMICDISCIPLINE|MATHEMATICS'}"
15120,"{'ALASADAIRBASE|ICAOLOCATIONIDENTIFIER|ORAA', 'ALASADAIRBASE|RUNWAYNAME|08/26', 'ALASADAIRBASE|OPERATINGORGANISATION|UNITEDSTATESAIRFORCE', 'ALASADAIRBASE|LOCATION|ALANBARPROVINCE,IRAQ', 'ALASADAIRBASE|RUNWAYLENGTH|3992.88'}"
15122,"{'ALASADAIRBASE|ICAOLOCATIONIDENTIFIER|ORAA', 'ALASADAIRBASE|RUNWAYNAME|08/26', 'ALASADAIRBASE|OPERATINGORGANISATION|UNITEDSTATESAIRFORCE', 'ALASADAIRBASE|LOCATION|ALANBARPROVINCE,IRAQ', 'ALASADAIRBASE|RUNWAYLENGTH|3992.88'}"
15124,"{'ALASADAIRBASE|ICAOLOCATIONIDENTIFIER|ORAA', 'ALASADAIRBASE|RUNWAYNAME|08/26', 'ALASADAIRBASE|OPERATINGORGANISATION|UNITEDSTATESAIRFORCE', 'ALASADAIRBASE|LOCATION|ALANBARPROVINCE,IRAQ', 'ALASADAIRBASE|RUNWAYLENGTH|3992.88'}"
15132,"{'ADAREMANOR|OWNER|J.P.MCMANUS', 'ADAREMANOR|COMPLETIONDATE|1862', 'ADAREMANOR|ARCHITECT|PHILIPCHARLESHARDWICK'}"
15134,"{'ADAREMANOR|OWNER|J.P.MCMANUS', 'ADAREMANOR|COMPLETIONDATE|1862', 'ADAREMANOR|ARCHITECT|PHILIPCHARLESHARDWICK'}"
15136,"{'ADAREMANOR|OWNER|J.P.MCMANUS', 'ADAREMANOR|COMPLETIONDATE|1862', 'ADAREMANOR|ARCHITECT|PHILIPCHARLESHARDWICK'}"
15288,"{'WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|1533.0'}"
15290,"{'WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|1533.0'}"
15292,"{'WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|1533.0'}"
15300,"{'MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN|ISPARTOF|UNITEDSTATES'}"
15302,"{'MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN|ISPARTOF|UNITEDSTATES'}"
15328,"{'MASSIMODRAGO|CLUB|S.S.CHIETICALCIO', 'MASSIMODRAGO|CLUB|U.S.CASTROVILLARICALCIO', 'A.C.CESENA|MANAGER|MASSIMODRAGO'}"
15330,"{'MASSIMODRAGO|CLUB|S.S.CHIETICALCIO', 'MASSIMODRAGO|CLUB|U.S.CASTROVILLARICALCIO', 'A.C.CESENA|MANAGER|MASSIMODRAGO'}"
15332,"{'MASSIMODRAGO|CLUB|S.S.CHIETICALCIO', 'MASSIMODRAGO|CLUB|U.S.CASTROVILLARICALCIO', 'A.C.CESENA|MANAGER|MASSIMODRAGO'}"
15366,"{'ACCRINGTONSTANLEYF.C.|GROUND|ACCRINGTON', 'ALANMARTIN(FOOTBALLER)|CLUB|ACCRINGTONSTANLEYF.C.', 'ALANMARTIN(FOOTBALLER)|CLUB|MOTHERWELLF.C.'}"
15368,"{'ACCRINGTONSTANLEYF.C.|GROUND|ACCRINGTON', 'ALANMARTIN(FOOTBALLER)|CLUB|ACCRINGTONSTANLEYF.C.', 'ALANMARTIN(FOOTBALLER)|CLUB|MOTHERWELLF.C.'}"
15422,"{'BIONICO|COURSE|DESSERT', 'DESSERT|DISHVARIATION|CAKE', 'BIONICO|REGION|GUADALAJARA', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'GUADALAJARA|COUNTRY|MEXICO'}"
15424,"{'BIONICO|COURSE|DESSERT', 'DESSERT|DISHVARIATION|CAKE', 'BIONICO|REGION|GUADALAJARA', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'GUADALAJARA|COUNTRY|MEXICO'}"
15426,"{'BIONICO|COURSE|DESSERT', 'DESSERT|DISHVARIATION|CAKE', 'BIONICO|REGION|GUADALAJARA', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'GUADALAJARA|COUNTRY|MEXICO'}"
15452,"{'AJOBLANCO|REGION|ANDALUSIA', 'SPAIN|ETHNICGROUP|SPANIARDS', 'AJOBLANCO|COUNTRY|SPAIN', 'SPAIN|LANGUAGE|SPANISHLANGUAGE', 'ANDALUSIA|LEADERNAME|SUSANADIAZ'}"
15454,"{'AJOBLANCO|REGION|ANDALUSIA', 'SPAIN|ETHNICGROUP|SPANIARDS', 'AJOBLANCO|COUNTRY|SPAIN', 'SPAIN|LANGUAGE|SPANISHLANGUAGE', 'ANDALUSIA|LEADERNAME|SUSANADIAZ'}"
15456,"{'AJOBLANCO|REGION|ANDALUSIA', 'SPAIN|ETHNICGROUP|SPANIARDS', 'AJOBLANCO|COUNTRY|SPAIN', 'SPAIN|LANGUAGE|SPANISHLANGUAGE', 'ANDALUSIA|LEADERNAME|SUSANADIAZ'}"
15458,"{'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
15460,"{'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
15462,"{'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
15464,"{'ELLIOTSEE|BIRTHPLACE|DALLAS', 'ELLIOTSEE|NATIONALITY|UNITEDSTATES', 'ELLIOTSEE|ALMAMATER|UNIVERSITYOFTEXASATAUSTIN'}"
15480,"{'ADISHAMHALL|LOCATION|SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
15482,"{'ADISHAMHALL|LOCATION|SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
15484,"{'ADISHAMHALL|LOCATION|SRILANKA', 'ADISHAMHALL|ARCHITECTURALSTYLE|TUDORREVIVALARCHITECTURE'}"
15492,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'CALIFORNIASTATEASSEMBLY|LOCATION|CALIFORNIASTATECAPITOL', 'ANAHEIM,CALIFORNIA|LEADERTITLE|CALIFORNIASTATEASSEMBLY', 'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE'}"
15494,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'CALIFORNIASTATEASSEMBLY|LOCATION|CALIFORNIASTATECAPITOL', 'ANAHEIM,CALIFORNIA|LEADERTITLE|CALIFORNIASTATEASSEMBLY', 'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE'}"
15496,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'CALIFORNIASTATEASSEMBLY|LOCATION|CALIFORNIASTATECAPITOL', 'ANAHEIM,CALIFORNIA|LEADERTITLE|CALIFORNIASTATEASSEMBLY', 'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE'}"
15604,"{'1036GANYMED|DISCOVERER|WALTERBAADE', 'WALTERBAADE|DEATHPLACE|GOTTINGEN', 'WALTERBAADE|DOCTORALSTUDENT|ALLANSANDAGE', 'WALTERBAADE|BIRTHPLACE|GERMANEMPIRE', 'WALTERBAADE|ALMAMATER|UNIVERSITYOFGOTTINGEN'}"
15606,"{'1036GANYMED|DISCOVERER|WALTERBAADE', 'WALTERBAADE|DEATHPLACE|GOTTINGEN', 'WALTERBAADE|DOCTORALSTUDENT|ALLANSANDAGE', 'WALTERBAADE|BIRTHPLACE|GERMANEMPIRE', 'WALTERBAADE|ALMAMATER|UNIVERSITYOFGOTTINGEN'}"
15608,"{'1036GANYMED|DISCOVERER|WALTERBAADE', 'WALTERBAADE|DEATHPLACE|GOTTINGEN', 'WALTERBAADE|DOCTORALSTUDENT|ALLANSANDAGE', 'WALTERBAADE|BIRTHPLACE|GERMANEMPIRE', 'WALTERBAADE|ALMAMATER|UNIVERSITYOFGOTTINGEN'}"
15678,"{'DANIELGOULDFOWLE|ALMAMATER|PRINCETONUNIVERSITY', 'ALFREDMOORESCALES|SUCCESSOR|DANIELGOULDFOWLE'}"
15680,"{'DANIELGOULDFOWLE|ALMAMATER|PRINCETONUNIVERSITY', 'ALFREDMOORESCALES|SUCCESSOR|DANIELGOULDFOWLE'}"
15682,"{'DANIELGOULDFOWLE|ALMAMATER|PRINCETONUNIVERSITY', 'ALFREDMOORESCALES|SUCCESSOR|DANIELGOULDFOWLE'}"
15824,"{'ATLANTICCOUNTY,NEWJERSEY|COUNTRY|UNITEDSTATES', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY'}"
15826,"{'ATLANTICCOUNTY,NEWJERSEY|COUNTRY|UNITEDSTATES', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY'}"
15828,"{'ATLANTICCOUNTY,NEWJERSEY|COUNTRY|UNITEDSTATES', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY'}"
15888,"{'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAGIK(RAPPER)', 'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KALIBER44', 'ABRADAB|ORIGIN|KATOWICE'}"
15890,"{'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAGIK(RAPPER)', 'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KALIBER44', 'ABRADAB|ORIGIN|KATOWICE'}"
15892,"{'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAGIK(RAPPER)', 'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KALIBER44', 'ABRADAB|ORIGIN|KATOWICE'}"
15924,"{'ALHAMBRA|SHIPLAUNCH|1855-05-31', 'ALHAMBRA|LENGTH|63800.0(MILLIMETRES)', 'ALHAMBRA|SHIPBEAM|8.3M'}"
15926,"{'ALHAMBRA|SHIPLAUNCH|1855-05-31', 'ALHAMBRA|LENGTH|63800.0(MILLIMETRES)', 'ALHAMBRA|SHIPBEAM|8.3M'}"
15928,"{'ALHAMBRA|SHIPLAUNCH|1855-05-31', 'ALHAMBRA|LENGTH|63800.0(MILLIMETRES)', 'ALHAMBRA|SHIPBEAM|8.3M'}"
16036,"{'BIONICO|COURSE|DESSERT', 'BIONICO|MAININGREDIENTS|CHOPPEDFRUITS,SOURCREAM,CONDENSEDMILK,GRANOLA,SHREDDEDCOCONUT,RAISINS', 'BIONICO|REGION|JALISCO', 'BIONICO|INGREDIENT|RAISIN', 'BIONICO|COUNTRY|MEXICO'}"
16038,"{'BIONICO|COURSE|DESSERT', 'BIONICO|MAININGREDIENTS|CHOPPEDFRUITS,SOURCREAM,CONDENSEDMILK,GRANOLA,SHREDDEDCOCONUT,RAISINS', 'BIONICO|REGION|JALISCO', 'BIONICO|INGREDIENT|RAISIN', 'BIONICO|COUNTRY|MEXICO'}"
16086,"{'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES', 'ALEKSANDRAKOVAC|BIRTHYEAR|1972', 'ALEKSANDRAKOVAC|BIRTHPLACE|SOCIALISTREPUBLICOFSERBIA', 'ALEKSANDRAKOVAC|BACKGROUND|SOLOSINGER'}"
16088,"{'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES', 'ALEKSANDRAKOVAC|BIRTHYEAR|1972', 'ALEKSANDRAKOVAC|BIRTHPLACE|SOCIALISTREPUBLICOFSERBIA', 'ALEKSANDRAKOVAC|BACKGROUND|SOLOSINGER'}"
16090,"{'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES', 'ALEKSANDRAKOVAC|BIRTHYEAR|1972', 'ALEKSANDRAKOVAC|BIRTHPLACE|SOCIALISTREPUBLICOFSERBIA', 'ALEKSANDRAKOVAC|BACKGROUND|SOLOSINGER'}"
16210,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BEBIDOL', 'ALEKSANDRAKOVAC|GENRE|POPMUSIC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)'}"
16212,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BEBIDOL', 'ALEKSANDRAKOVAC|GENRE|POPMUSIC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)'}"
16214,"{'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BEBIDOL', 'ALEKSANDRAKOVAC|GENRE|POPMUSIC', 'ALEKSANDRAKOVAC|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|K2(KOVACSISTERSDUO)'}"
16218,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BOBINA', 'ANDREWRAYEL|GENRE|TRANCEMUSIC', 'ANDREWRAYEL|ACTIVEYEARSSTARTYEAR|2009', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JWAYDANMOYINE', 'ANDREWRAYEL|BIRTHPLACE|CHISINAU,MOLDOVA'}"
16220,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BOBINA', 'ANDREWRAYEL|GENRE|TRANCEMUSIC', 'ANDREWRAYEL|ACTIVEYEARSSTARTYEAR|2009', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JWAYDANMOYINE', 'ANDREWRAYEL|BIRTHPLACE|CHISINAU,MOLDOVA'}"
16222,"{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BOBINA', 'ANDREWRAYEL|GENRE|TRANCEMUSIC', 'ANDREWRAYEL|ACTIVEYEARSSTARTYEAR|2009', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JWAYDANMOYINE', 'ANDREWRAYEL|BIRTHPLACE|CHISINAU,MOLDOVA'}"
16234,{'ALBERTOTEISAIRE|PROFESSION|REARADMIRALINTHEARGENTINENAVY'}
16236,{'ALBERTOTEISAIRE|PROFESSION|REARADMIRALINTHEARGENTINENAVY'}
16284,{'BAKEDALASKA|REGION|HONGKONG'}
16286,{'BAKEDALASKA|REGION|HONGKONG'}
16330,"{'250DELAWAREAVENUE|LOCATION|UNITEDSTATES', '250DELAWAREAVENUE|FLOORAREA|30843.8(SQUAREMETRES)', '250DELAWAREAVENUE|FLOORCOUNT|12'}"
16332,"{'250DELAWAREAVENUE|LOCATION|UNITEDSTATES', '250DELAWAREAVENUE|FLOORAREA|30843.8(SQUAREMETRES)', '250DELAWAREAVENUE|FLOORCOUNT|12'}"
16334,"{'250DELAWAREAVENUE|LOCATION|UNITEDSTATES', '250DELAWAREAVENUE|FLOORAREA|30843.8(SQUAREMETRES)', '250DELAWAREAVENUE|FLOORCOUNT|12'}"
16486,{'INDIEROCK|STYLISTICORIGIN|NEWWAVEMUSIC'}
16488,{'INDIEROCK|STYLISTICORIGIN|NEWWAVEMUSIC'}
16512,"{'ARGENTINA|LEADERNAME|GABRIELAMICHETTI', 'ARAVEINTICINCODEMAYO(V-2)|COUNTRY|ARGENTINA'}"
16514,"{'ARGENTINA|LEADERNAME|GABRIELAMICHETTI', 'ARAVEINTICINCODEMAYO(V-2)|COUNTRY|ARGENTINA'}"
16516,"{'ARGENTINA|LEADERNAME|GABRIELAMICHETTI', 'ARAVEINTICINCODEMAYO(V-2)|COUNTRY|ARGENTINA'}"
16520,{'ALVISSPEED25|MODELSTARTYEAR|1937'}
16522,{'ALVISSPEED25|MODELSTARTYEAR|1937'}
16710,{'1097VICIA|EPOCH|2006-12-31'}
16712,{'1097VICIA|EPOCH|2006-12-31'}
16714,"{'UNITEDSTATES|LEADERNAME|BARACKOBAMA', 'AWIZARDOFMARS|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
16716,"{'UNITEDSTATES|LEADERNAME|BARACKOBAMA', 'AWIZARDOFMARS|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
16718,"{'UNITEDSTATES|LEADERNAME|BARACKOBAMA', 'AWIZARDOFMARS|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
16768,"{'ADDISABABACITYHALL|LOCATION|ADDISABABA', 'ADDISABABACITYHALL|COUNTRY|ETHIOPIA'}"
16770,"{'ADDISABABACITYHALL|LOCATION|ADDISABABA', 'ADDISABABACITYHALL|COUNTRY|ETHIOPIA'}"
16792,"{'ASEVEREDWASP|COUNTRY|UNITEDSTATES', 'ASEVEREDWASP|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|LEADERNAME|BARACKOBAMA', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'ENGLISHLANGUAGE|SPOKENIN|GREATBRITAIN'}"
16794,"{'ASEVEREDWASP|COUNTRY|UNITEDSTATES', 'ASEVEREDWASP|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|LEADERNAME|BARACKOBAMA', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'ENGLISHLANGUAGE|SPOKENIN|GREATBRITAIN'}"
16804,{'DUBLIN|LEADERNAME|CRIONANIDHALAIGH'}
16876,"{'1634:THEBAVARIANCRISIS|PRECEDEDBY|GRANTVILLEGAZETTEIII', '1634:THEBAVARIANCRISIS|AUTHOR|ERICFLINT', '1634:THEBAVARIANCRISIS|PRECEDEDBY|DEMARCESHORTSTORIESINTHETHEGRANTVILLEGAZETTES', 'ERICFLINT|BIRTHPLACE|BURBANK,CALIFORNIA'}"
16878,"{'1634:THEBAVARIANCRISIS|PRECEDEDBY|GRANTVILLEGAZETTEIII', '1634:THEBAVARIANCRISIS|AUTHOR|ERICFLINT', '1634:THEBAVARIANCRISIS|PRECEDEDBY|DEMARCESHORTSTORIESINTHETHEGRANTVILLEGAZETTES', 'ERICFLINT|BIRTHPLACE|BURBANK,CALIFORNIA'}"
16880,"{'1634:THEBAVARIANCRISIS|PRECEDEDBY|GRANTVILLEGAZETTEIII', '1634:THEBAVARIANCRISIS|AUTHOR|ERICFLINT', '1634:THEBAVARIANCRISIS|PRECEDEDBY|DEMARCESHORTSTORIESINTHETHEGRANTVILLEGAZETTES', 'ERICFLINT|BIRTHPLACE|BURBANK,CALIFORNIA'}"
16882,"{'MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|1533.0'}"
16884,"{'MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|1533.0'}"
16886,"{'MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|1533.0'}"
17046,"{'1089TAMA|EPOCH|2005-11-26', '1089TAMA|PERIAPSIS|288749000000.0', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
17048,"{'1089TAMA|EPOCH|2005-11-26', '1089TAMA|PERIAPSIS|288749000000.0', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
17050,"{'1089TAMA|EPOCH|2005-11-26', '1089TAMA|PERIAPSIS|288749000000.0', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
17148,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'LEECOUNTY,ALABAMA|COUNTYSEAT|OPELIKA,ALABAMA', 'LEECOUNTY,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|ALABAMA'}"
17150,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'LEECOUNTY,ALABAMA|COUNTYSEAT|OPELIKA,ALABAMA', 'LEECOUNTY,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|ALABAMA'}"
17152,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'LEECOUNTY,ALABAMA|COUNTYSEAT|OPELIKA,ALABAMA', 'LEECOUNTY,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|ALABAMA'}"
17282,"{'ALANBEAN|BIRTHDATE|1932-03-15', 'ALANBEAN|STATUS|RETIRED'}"
17284,"{'ALANBEAN|BIRTHDATE|1932-03-15', 'ALANBEAN|STATUS|RETIRED'}"
17286,"{'ALANBEAN|BIRTHDATE|1932-03-15', 'ALANBEAN|STATUS|RETIRED'}"
17288,"{'ALANBEAN|BIRTHDATE|1932-03-15', 'ALANBEAN|STATUS|RETIRED'}"
17338,"{'110LYDIA|EPOCH|2006-12-31', '110LYDIA|ORBITALPERIOD|142603000.0'}"
17340,"{'110LYDIA|EPOCH|2006-12-31', '110LYDIA|ORBITALPERIOD|142603000.0'}"
17342,"{'110LYDIA|EPOCH|2006-12-31', '110LYDIA|ORBITALPERIOD|142603000.0'}"
17344,"{'JULIAMORGAN|SIGNIFICANTBUILDING|ASILOMARSTATEBEACH', 'ASILOMARCONFERENCEGROUNDS|ARCHITECT|JULIAMORGAN', 'JULIAMORGAN|BIRTHPLACE|SANFRANCISCO', 'JULIAMORGAN|SIGNIFICANTPROJECT|HEARSTCASTLE', 'JULIAMORGAN|SIGNIFICANTBUILDING|RIVERSIDEARTMUSEUM'}"
